spirit_name,spirit_price,spirit_stock,spirit_category,Img,Date
Tanqueray London Dry Gin 750ml,199.0,6,gin,https://cellarmasterwines.com/cdn/shop/products/TanquerayGin1000ml_480x_569e3943-2d90-408b-aeb5-3bfd7efc07b8_533x.jpg?v=1657679928,2024-08-18
Tanqueray No. Ten Gin 700ml,399.0,2,gin,https://cellarmasterwines.com/cdn/shop/products/tanq10_533x.jpg?v=1650853806,2024-08-18
The Mixology Company Pre-Mixed Negroni Cocktail (200ml),69.0,6,gin,https://cellarmasterwines.com/cdn/shop/files/MixologyNegroni_533x.webp?v=1701831536,2024-08-18
Baileys Original Irish Cream 1 Litre,139.0,7,liqueurs,https://cellarmasterwines.com/cdn/shop/products/baileys_b578d73c-38c9-4d45-a03f-ffce03708124_533x.webp?v=1650890532,2024-08-18
Bottega 'Limoncino a Base di Grappa Limoni di Sicilia' Liqueur 500ml,118.0,5,liqueurs,https://cellarmasterwines.com/cdn/shop/products/LIMONCINO-BOTTEGA-CL50_WB_HR_750x_03ee1246-62f6-4d79-b9aa-1006284437d2_533x.jpg?v=1641540059,2024-08-18
Tequila Rose Strawberry Cream Liqueur 700ml,135.0,85,liqueurs,https://cellarmasterwines.com/cdn/shop/products/TequilaRose_533x.webp?v=1661965947,2024-08-18
Bottega Pistacchio Liqueur 500ml,118.0,7,liqueurs,https://cellarmasterwines.com/cdn/shop/products/botegapistaccio_533x.jpg?v=1655202834,2024-08-18
Kwai Feh Lychee Liqueur 700ml,135.0,2,liqueurs,https://cellarmasterwines.com/cdn/shop/products/lychee_533x.png?v=1626107165,2024-08-18
Cointreau 700ml,258.0,3,liqueurs,https://cellarmasterwines.com/cdn/shop/products/cointreau_533x.png?v=1665718477,2024-08-18
Martini Rosso Vermouth 1 Litre,88.0,2,liqueurs,https://cellarmasterwines.com/cdn/shop/products/MartiniL_aperitivoRosso750ml_1024x1024_9c34d7e4-ebb4-4f85-b126-995d86998de0_533x.jpg?v=1627616472,2024-08-18
Appleton Estate 21 Year Old Jamaican Rum,2398.0,1,rum,https://cellarmasterwines.com/cdn/shop/products/appleton-estate-21-year-old-rum_533x.jpg?v=1620964976,2024-08-18
